年度,RawData,Source_URL
2007年度,井口 剛志Tsuyoshi IGUCHI | 伏見工業高校Fushimi Technical HS | 3年 | 修学院中学 | 180 | 75 | 89.12.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,SH | 榎本光祐Kosuke ENOMOTO | 早稲田大学WASEDA Univ. | 1年 | 大分舞鶴高校Oita Maizuru HS | 170 | 68 | 1988.10.22,https://www.rugby-japan.jp/news/5270
2007年度,PR1 | 三上 正貴Masaki MIKAMI | 東海大学Tokai Univ. | 1年 | 青森工業高校 | 178 | 105 | 88.06.04 | ○,https://www.rugby-japan.jp/news/5270
2007年度,新田 浩一Koichi NITTA | 東海大学Tokai Univ. | 1年 | 東海大仰星高校 | 183 | 104 | 88.06.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,才田 修二Shuji SAITA | 同志社大学Doshisha Univ. | 1年 | 東福岡高校 | 180 | 110 | 88.08.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,PR3 | 大塚 智加人Chikato OTSUKA | 中央大学Chuo Univ. | 1年 | 國學院大學久我山高校 | 180 | 107 | 88.08.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,田中 光Hikaru TANAKA | 山梨学院大学Yamanashi Gakuin Univ. | 1年 | 新発田農業高校 | 177 | 105 | 89.03.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,小野 慎介Shinsuke ONO | 流通経済大学付属柏高校Ryutsu Keizai Kashiwa HS | 3年 | 印西中学校 | 180 | 110 | 89.10.30 | ○,https://www.rugby-japan.jp/news/5270
2007年度,HO | 森 大志Futoshi MORI | 帝京大学Teikyo Univ. | 1年 | 仙台育英高校 | 175 | 95 | 88.04.25 | ×,https://www.rugby-japan.jp/news/5270
2007年度,前川 鐘平Shohei MAEKAWA | 東海大学Tokai Univ. | 1年 | 東海大仰星高校 | 178 | 89 | 88.09.08 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山崎 基生Motoki YAMAZAKI | 流通経済大学Ryutukeizai Univ. | 1年 | 流通経済大学柏高校 | 176 | 97 | 88.11.25 | ○,https://www.rugby-japan.jp/news/5270
2007年度,有田 隆平Ryuhei ARITA | 早稲田大学Waseda Univ. | 1年 | 東福岡高校 | 176 | 94 | 89.03.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,LO | 松田 圭祐Keisuke MATSUDA | 大東文化大学Daito Bunka Univ. | 2年 | 大東文化大第一高校 | 190 | 101 | 88.01.06 | ○,https://www.rugby-japan.jp/news/5270
2007年度,栗林 宣正Norimasa KURIBAYASHI | 法政大学Hosei Univ. | 1年 | 東京高校 | 186 | 100 | 88.04.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ポヒヴァ・ロトアヘアLotoahea POHIVA | 正智深谷高校Shochi Fukaya HS | 3年 | トゥポ中学校 | 190 | 105 | 88.08.10 | ○,https://www.rugby-japan.jp/news/5270
2007年度,マイケル・リーチMichel LEITCH | 東海大学Tokai Univ. | 1年 | 札幌山の手高校 | 187 | 96 | 88.10.07 | ×,https://www.rugby-japan.jp/news/5270
2007年度,加藤 豪也Takaya KATO | 慶應義塾大学Keio Univ. | 1年 | 太田高校 | 190 | 95 | 88.10.11 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中田 英里Eiri NAKADA | 早稲田大学Waseda Univ. | 1年 | 成蹊高校 | 193 | 104 | 88.11.16 | ○,https://www.rugby-japan.jp/news/5270
2007年度,FL/ No.8 | 西原 忠佑Tadasuke NISHIHARA | 明治大学Meiji Univ. | 2年 | 大阪桐蔭高校 | 183 | 95 | 88.01.02 | ○,https://www.rugby-japan.jp/news/5270
2007年度,新井 慶史Yoshinobu ARAI | 神戸製鋼コベルコスティーラーズKOBE STEEL Kobelco Steelers | 19 | 東海大仰星高校 | 174 | 83 | 88.04.07 | ○,https://www.rugby-japan.jp/news/5270
2007年度,大平 純平Junpei OHIRA | 同志社大学Doshisha Univ. | １年 | 江の川高校 | 174 | 86 | 88.07.12 | ○,https://www.rugby-japan.jp/news/5270
2007年度,布巻 良太Ryota NUNOMAKI | 日本大学Nihon Univ. | １年 | 東福岡高校 | 180 | 78 | 88.08.26 | ○,https://www.rugby-japan.jp/news/5270
2007年度,村田 毅Tsuyoshi MURATA | 慶應義塾大学Keio Univ. | 1年 | 慶應志木高校 | 185 | 93 | 88.12.15 | ○,https://www.rugby-japan.jp/news/5270
2007年度,杉本 博昭Hiroaki SUGIMOTO | 明治大学Meiji Univ. | 1年 | 大阪工大高校 | 182 | 92 | 89.02.27 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山内 健太郎Kentaro YAMAUCHI | 長崎北陽台高校Nagasaki Hokuyoudai HS | 3年 | 土井首中学校 | 184 | 88 | 89.04.10 | ×,https://www.rugby-japan.jp/news/5270
2007年度,ナイ・シアオシ・マアフSiaosi Maasu nai | 日本航空第二高校Japan Aviation Academy | 3年 | トンガカレッジ | 176 | 86 | 89.05.17 | ○,https://www.rugby-japan.jp/news/5270
2007年度,SH | 柳原 瑞樹Mizuki YANAGIHARA | 日本体育大学Nippon Sports Science Univ. | 1年 | 八戸西高校 | 170 | 76 | 88.11.10 | ○,https://www.rugby-japan.jp/news/5270
2007年度,鶴田 諒Ryo TSURUTA | 東海大学Tokai Univ. | 1年 | 日川高校 | 174 | 78 | 88.12.03 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中村 正寿Masatoshi NAKAMURA | 日本大学Nihon Univ. | 1年 | 東福岡高校 | 165 | 65 | 89.01.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,SO | 吉田 真吾Shingo YOSHIDA | 東海大学Tokai Univ. | 1年 | 深谷高校 | 175 | 70 | 88.04.20 | ○,https://www.rugby-japan.jp/news/5270
2007年度,竹本 竜太郎Ryutaro TAKEMOTO | 慶應義塾大学Keio Univ. | 1年 | 長崎北高校 | 173 | 75 | 88.05.19 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山中 亮平Ryohei YAMANAKA | 早稲田大学Waseda Univ. | 1年 | 東海大仰星高校 | 186 | 88 | 88.06.22 | ○,https://www.rugby-japan.jp/news/5270
2007年度,CTB | 増田 慶介Keisuke MASUDA | 慶應義塾大学Keio Univ. | 1年 | 長崎北高校 | 182 | 88 | 88.05.02 | ○,https://www.rugby-japan.jp/news/5270
2007年度,坂井 克行Katsuyuki SAKAI | 早稲田大学Waseda Univ. | 1年 | 四日市農芸高校 | 173 | 84 | 88.09.07 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中島 拓也Takuya NAKAJIMA | ヤマハ発動機ジュビロYAMAHA Motor Jubilo | 19 | 熊谷工業高校 | 175 | 80 | 88.10.09 | ○,https://www.rugby-japan.jp/news/5270
2007年度,イーリー・ニコラスEaley NICHILAS | 拓殖大学Takushoku Univ. | 1年 | セントビーズ高校 | 181 | 95 | 88.10.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ハベア・アイセア・マタアリMataaliAisea Havea | 日本航空第二高校Japan Aviation Academy | 3年 | トンガカレッジ | 175 | 97 | 89.01.31 | ○,https://www.rugby-japan.jp/news/5270
2007年度,仲宗根 健太Kenta NAKASONE | 桐蔭学園高校Toin Gakuen HS | 3年 | 桐蔭学園中学 | 180 | 88 | 89.04.05 | ○,https://www.rugby-japan.jp/news/5270
2007年度,立川 理道Harumichi TATEKAWA | 天理高校Tenri HS | 3年 | 天理中学 | 182 | 88 | 89.12.02 | ○,https://www.rugby-japan.jp/news/5270
2007年度,WTB | 大島 佐利Satoshi OSHIMA | 早稲田大学Waseda Univ. | 2年 | 國學院大學栃木高校 | 180 | 88 | 88.01.01 | ×,https://www.rugby-japan.jp/news/5270
2007年度,甲地 直樹Naoki KACCHI | 帝京大学Teikyo Univ. | 1年 | 三沢商業高校 | 180 | 88 | 88.07.07 | ×,https://www.rugby-japan.jp/news/5270
2007年度,大久保 教全Takamasa OKUBO | 同志社大学Doshisha Univ. | 1年 | 深谷高校 | 173 | 72 | 88.07.28 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中濱 寛造Kanzo NAKAHAMA | 早稲田大学Waseda Univ. | 1年 | 大阪工大高校 | 176 | 81 | 88.09.28 | ○,https://www.rugby-japan.jp/news/5270
2007年度,長野 直樹Naoki CHONO | 関西学院大学Kwansei Gakuin Univ. | 1年 | 関西学院高校 | 174 | 78 | 89.01.09 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ジェーミー・ブラッキーJamie BLACKIE | ゴールドスミスカレッジGoldsmiths Collelge | 19 | - | 183 | 90 | 88.05.08 | ○,https://www.rugby-japan.jp/news/5270
2007年度,FB | 飯田 貴也Takaya IIDA | 早稲田大学Waseda Univ. | 1年 | 早大本庄高校 | 182 | 83 | 88.10.25 | ○,https://www.rugby-japan.jp/news/5270
2007年度,竹下 祥平Shohei TAKESHITA | 東福岡高校Higashi Fukuoka HS | 3年 | 平尾中学 | 180 | 76 | 89.05.06 | ○,https://www.rugby-japan.jp/news/5270
2007年度,井口 剛志Tsuyoshi IGUCHI | 伏見工業高校Fushimi Technical HS | 3年 | 修学院中学 | 180 | 75 | 89.12.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,SH | 榎本光祐Kosuke ENOMOTO | 早稲田大学WASEDA Univ. | 1年 | 大分舞鶴高校Oita Maizuru HS | 170 | 68 | 1988.10.22,https://www.rugby-japan.jp/news/5270
2007年度,PR1 | 三上 正貴Masaki MIKAMI | 東海大学Tokai Univ. | 1年 | 青森工業高校 | 178 | 105 | 88.06.04 | ○,https://www.rugby-japan.jp/news/5270
2007年度,新田 浩一Koichi NITTA | 東海大学Tokai Univ. | 1年 | 東海大仰星高校 | 183 | 104 | 88.06.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,才田 修二Shuji SAITA | 同志社大学Doshisha Univ. | 1年 | 東福岡高校 | 180 | 110 | 88.08.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,PR3 | 大塚 智加人Chikato OTSUKA | 中央大学Chuo Univ. | 1年 | 國學院大學久我山高校 | 180 | 107 | 88.08.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,田中 光Hikaru TANAKA | 山梨学院大学Yamanashi Gakuin Univ. | 1年 | 新発田農業高校 | 177 | 105 | 89.03.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,小野 慎介Shinsuke ONO | 流通経済大学付属柏高校Ryutsu Keizai Kashiwa HS | 3年 | 印西中学校 | 180 | 110 | 89.10.30 | ○,https://www.rugby-japan.jp/news/5270
2007年度,HO | 森 大志Futoshi MORI | 帝京大学Teikyo Univ. | 1年 | 仙台育英高校 | 175 | 95 | 88.04.25 | ×,https://www.rugby-japan.jp/news/5270
2007年度,前川 鐘平Shohei MAEKAWA | 東海大学Tokai Univ. | 1年 | 東海大仰星高校 | 178 | 89 | 88.09.08 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山崎 基生Motoki YAMAZAKI | 流通経済大学Ryutukeizai Univ. | 1年 | 流通経済大学柏高校 | 176 | 97 | 88.11.25 | ○,https://www.rugby-japan.jp/news/5270
2007年度,有田 隆平Ryuhei ARITA | 早稲田大学Waseda Univ. | 1年 | 東福岡高校 | 176 | 94 | 89.03.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,LO | 松田 圭祐Keisuke MATSUDA | 大東文化大学Daito Bunka Univ. | 2年 | 大東文化大第一高校 | 190 | 101 | 88.01.06 | ○,https://www.rugby-japan.jp/news/5270
2007年度,栗林 宣正Norimasa KURIBAYASHI | 法政大学Hosei Univ. | 1年 | 東京高校 | 186 | 100 | 88.04.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ポヒヴァ・ロトアヘアLotoahea POHIVA | 正智深谷高校Shochi Fukaya HS | 3年 | トゥポ中学校 | 190 | 105 | 88.08.10 | ○,https://www.rugby-japan.jp/news/5270
2007年度,マイケル・リーチMichel LEITCH | 東海大学Tokai Univ. | 1年 | 札幌山の手高校 | 187 | 96 | 88.10.07 | ×,https://www.rugby-japan.jp/news/5270
2007年度,加藤 豪也Takaya KATO | 慶應義塾大学Keio Univ. | 1年 | 太田高校 | 190 | 95 | 88.10.11 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中田 英里Eiri NAKADA | 早稲田大学Waseda Univ. | 1年 | 成蹊高校 | 193 | 104 | 88.11.16 | ○,https://www.rugby-japan.jp/news/5270
2007年度,FL/ No.8 | 西原 忠佑Tadasuke NISHIHARA | 明治大学Meiji Univ. | 2年 | 大阪桐蔭高校 | 183 | 95 | 88.01.02 | ○,https://www.rugby-japan.jp/news/5270
2007年度,新井 慶史Yoshinobu ARAI | 神戸製鋼コベルコスティーラーズKOBE STEEL Kobelco Steelers | 19 | 東海大仰星高校 | 174 | 83 | 88.04.07 | ○,https://www.rugby-japan.jp/news/5270
2007年度,大平 純平Junpei OHIRA | 同志社大学Doshisha Univ. | １年 | 江の川高校 | 174 | 86 | 88.07.12 | ○,https://www.rugby-japan.jp/news/5270
2007年度,布巻 良太Ryota NUNOMAKI | 日本大学Nihon Univ. | １年 | 東福岡高校 | 180 | 78 | 88.08.26 | ○,https://www.rugby-japan.jp/news/5270
2007年度,村田 毅Tsuyoshi MURATA | 慶應義塾大学Keio Univ. | 1年 | 慶應志木高校 | 185 | 93 | 88.12.15 | ○,https://www.rugby-japan.jp/news/5270
2007年度,杉本 博昭Hiroaki SUGIMOTO | 明治大学Meiji Univ. | 1年 | 大阪工大高校 | 182 | 92 | 89.02.27 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山内 健太郎Kentaro YAMAUCHI | 長崎北陽台高校Nagasaki Hokuyoudai HS | 3年 | 土井首中学校 | 184 | 88 | 89.04.10 | ×,https://www.rugby-japan.jp/news/5270
2007年度,ナイ・シアオシ・マアフSiaosi Maasu nai | 日本航空第二高校Japan Aviation Academy | 3年 | トンガカレッジ | 176 | 86 | 89.05.17 | ○,https://www.rugby-japan.jp/news/5270
2007年度,PR1 | 三上 正貴Masaki MIKAMI | 東海大学Tokai Univ. | 1年 | 青森工業高校 | 178 | 105 | 88.06.04 | ○,https://www.rugby-japan.jp/news/5270
2007年度,新田 浩一Koichi NITTA | 東海大学Tokai Univ. | 1年 | 東海大仰星高校 | 183 | 104 | 88.06.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,才田 修二Shuji SAITA | 同志社大学Doshisha Univ. | 1年 | 東福岡高校 | 180 | 110 | 88.08.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,PR3 | 大塚 智加人Chikato OTSUKA | 中央大学Chuo Univ. | 1年 | 國學院大學久我山高校 | 180 | 107 | 88.08.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,田中 光Hikaru TANAKA | 山梨学院大学Yamanashi Gakuin Univ. | 1年 | 新発田農業高校 | 177 | 105 | 89.03.24 | ○,https://www.rugby-japan.jp/news/5270
2007年度,小野 慎介Shinsuke ONO | 流通経済大学付属柏高校Ryutsu Keizai Kashiwa HS | 3年 | 印西中学校 | 180 | 110 | 89.10.30 | ○,https://www.rugby-japan.jp/news/5270
2007年度,HO | 森 大志Futoshi MORI | 帝京大学Teikyo Univ. | 1年 | 仙台育英高校 | 175 | 95 | 88.04.25 | ×,https://www.rugby-japan.jp/news/5270
2007年度,前川 鐘平Shohei MAEKAWA | 東海大学Tokai Univ. | 1年 | 東海大仰星高校 | 178 | 89 | 88.09.08 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山崎 基生Motoki YAMAZAKI | 流通経済大学Ryutukeizai Univ. | 1年 | 流通経済大学柏高校 | 176 | 97 | 88.11.25 | ○,https://www.rugby-japan.jp/news/5270
2007年度,有田 隆平Ryuhei ARITA | 早稲田大学Waseda Univ. | 1年 | 東福岡高校 | 176 | 94 | 89.03.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,LO | 松田 圭祐Keisuke MATSUDA | 大東文化大学Daito Bunka Univ. | 2年 | 大東文化大第一高校 | 190 | 101 | 88.01.06 | ○,https://www.rugby-japan.jp/news/5270
2007年度,栗林 宣正Norimasa KURIBAYASHI | 法政大学Hosei Univ. | 1年 | 東京高校 | 186 | 100 | 88.04.21 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ポヒヴァ・ロトアヘアLotoahea POHIVA | 正智深谷高校Shochi Fukaya HS | 3年 | トゥポ中学校 | 190 | 105 | 88.08.10 | ○,https://www.rugby-japan.jp/news/5270
2007年度,マイケル・リーチMichel LEITCH | 東海大学Tokai Univ. | 1年 | 札幌山の手高校 | 187 | 96 | 88.10.07 | ×,https://www.rugby-japan.jp/news/5270
2007年度,加藤 豪也Takaya KATO | 慶應義塾大学Keio Univ. | 1年 | 太田高校 | 190 | 95 | 88.10.11 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中田 英里Eiri NAKADA | 早稲田大学Waseda Univ. | 1年 | 成蹊高校 | 193 | 104 | 88.11.16 | ○,https://www.rugby-japan.jp/news/5270
2007年度,FL/ No.8 | 西原 忠佑Tadasuke NISHIHARA | 明治大学Meiji Univ. | 2年 | 大阪桐蔭高校 | 183 | 95 | 88.01.02 | ○,https://www.rugby-japan.jp/news/5270
2007年度,新井 慶史Yoshinobu ARAI | 神戸製鋼コベルコスティーラーズKOBE STEEL Kobelco Steelers | 19 | 東海大仰星高校 | 174 | 83 | 88.04.07 | ○,https://www.rugby-japan.jp/news/5270
2007年度,大平 純平Junpei OHIRA | 同志社大学Doshisha Univ. | １年 | 江の川高校 | 174 | 86 | 88.07.12 | ○,https://www.rugby-japan.jp/news/5270
2007年度,布巻 良太Ryota NUNOMAKI | 日本大学Nihon Univ. | １年 | 東福岡高校 | 180 | 78 | 88.08.26 | ○,https://www.rugby-japan.jp/news/5270
2007年度,村田 毅Tsuyoshi MURATA | 慶應義塾大学Keio Univ. | 1年 | 慶應志木高校 | 185 | 93 | 88.12.15 | ○,https://www.rugby-japan.jp/news/5270
2007年度,杉本 博昭Hiroaki SUGIMOTO | 明治大学Meiji Univ. | 1年 | 大阪工大高校 | 182 | 92 | 89.02.27 | ○,https://www.rugby-japan.jp/news/5270
2007年度,山内 健太郎Kentaro YAMAUCHI | 長崎北陽台高校Nagasaki Hokuyoudai HS | 3年 | 土井首中学校 | 184 | 88 | 89.04.10 | ×,https://www.rugby-japan.jp/news/5270
2007年度,ナイ・シアオシ・マアフSiaosi Maasu nai | 日本航空第二高校Japan Aviation Academy | 3年 | トンガカレッジ | 176 | 86 | 89.05.17 | ○,https://www.rugby-japan.jp/news/5270
2007年度,SH | 柳原 瑞樹Mizuki YANAGIHARA | 日本体育大学Nippon Sports Science Univ. | 1年 | 八戸西高校 | 170 | 76 | 88.11.10 | ○,https://www.rugby-japan.jp/news/5270
2007年度,鶴田 諒Ryo TSURUTA | 東海大学Tokai Univ. | 1年 | 日川高校 | 174 | 78 | 88.12.03 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中村 正寿Masatoshi NAKAMURA | 日本大学Nihon Univ. | 1年 | 東福岡高校 | 165 | 65 | 89.01.24 | ○,https://www.rugby-japan.jp/news/5270
